year,team,actual_W,W_marcel,W_stan,err_M,err_S
2018,DeNA,67,56.9,58.4,-10.1,-8.6
2018,オリックス,65,75.0,75.2,10.0,10.2
2018,ソフトバンク,82,75.1,75.9,-6.9,-6.1
2018,ヤクルト,75,61.5,60.1,-13.5,-14.9
2018,ロッテ,59,62.8,62.1,3.8,3.1
2018,中日,63,92.1,91.4,29.1,28.4
2018,巨人,67,64.2,62.9,-2.8,-4.1
2018,広島,82,81.0,80.3,-1.0,-1.7
2018,日本ハム,74,65.6,65.7,-8.4,-8.3
2018,楽天,58,61.1,61.8,3.1,3.8
2018,西武,88,92.1,91.3,4.1,3.3
2018,阪神,62,66.6,67.0,4.6,5.0
2019,DeNA,71,79.6,81.2,8.6,10.2
2019,オリックス,61,55.5,56.8,-5.5,-4.2
2019,ソフトバンク,76,75.9,76.2,-0.1,0.2
2019,ヤクルト,59,62.8,60.8,3.8,1.8
2019,ロッテ,69,51.4,51.1,-17.6,-17.9
2019,中日,68,46.2,45.3,-21.8,-22.7
2019,巨人,77,82.9,81.9,5.9,4.9
2019,広島,70,91.2,90.1,21.2,20.1
2019,日本ハム,65,81.8,82.1,16.8,17.1
2019,楽天,71,53.3,53.7,-17.7,-17.3
2019,西武,80,102.1,101.4,22.1,21.4
2019,阪神,69,64.5,64.2,-4.5,-4.8
2020,DeNA,56,50.0,51.2,-6.0,-4.8
2020,オリックス,45,43.0,44.1,-2.0,-0.9
2020,ソフトバンク,73,74.5,74.5,1.5,1.5
2020,ヤクルト,41,71.9,71.5,30.9,30.5
2020,ロッテ,60,53.8,54.2,-6.2,-5.8
2020,中日,60,76.0,75.1,16.0,15.1
2020,巨人,67,69.5,68.6,2.5,1.6
2020,広島,52,69.8,70.2,17.8,18.2
2020,日本ハム,53,63.3,63.0,10.3,10.0
2020,楽天,55,44.0,43.4,-11.0,-11.6
2020,西武,58,54.7,54.0,-3.3,-4.0
2020,阪神,60,53.3,52.6,-6.7,-7.4
2021,DeNA,54,61.7,61.8,7.7,7.8
2021,オリックス,70,89.1,90.4,19.1,20.4
2021,ソフトバンク,60,90.3,91.9,30.3,31.9
2021,ヤクルト,73,77.4,77.3,4.4,4.3
2021,ロッテ,67,81.2,80.6,14.2,13.6
2021,中日,55,65.3,64.8,10.3,9.8
2021,巨人,61,63.7,63.6,2.7,2.6
2021,広島,63,71.0,70.7,8.0,7.7
2021,日本ハム,55,63.1,64.2,8.1,9.2
2021,楽天,66,86.9,86.6,20.9,20.6
2021,西武,55,54.6,54.2,-0.4,-0.8
2021,阪神,77,59.6,58.7,-17.4,-18.3
2022,DeNA,73,73.4,74.0,0.4,1.0
2022,オリックス,76,82.4,84.6,6.4,8.6
2022,ソフトバンク,76,67.3,67.6,-8.7,-8.4
2022,ヤクルト,80,58.4,57.3,-21.6,-22.7
2022,ロッテ,69,50.1,49.2,-18.9,-19.8
2022,中日,66,65.8,65.1,-0.2,-0.9
2022,巨人,68,103.4,103.6,35.4,35.6
2022,広島,66,71.5,72.0,5.5,6.0
2022,日本ハム,59,81.2,81.7,22.2,22.7
2022,楽天,69,64.2,64.1,-4.8,-4.9
2022,西武,72,63.9,64.8,-8.1,-7.2
2022,阪神,68,85.5,84.2,17.5,16.2
2023,DeNA,74,74.7,73.8,0.7,-0.2
2023,オリックス,86,67.8,69.7,-18.2,-16.3
2023,ソフトバンク,71,79.4,79.8,8.4,8.8
2023,ヤクルト,57,82.2,81.2,25.2,24.2
2023,ロッテ,70,96.9,97.9,26.9,27.9
2023,中日,56,56.6,58.6,0.6,2.6
2023,巨人,71,89.1,88.1,18.1,17.1
2023,広島,74,67.9,65.6,-6.1,-8.4
2023,日本ハム,60,65.5,65.5,5.5,5.5
2023,楽天,70,46.0,44.7,-24.0,-25.3
2023,西武,65,53.2,55.1,-11.8,-9.9
2023,阪神,85,89.3,88.8,4.3,3.8
2024,DeNA,71,103.8,102.9,32.8,31.9
2024,オリックス,63,78.1,79.5,15.1,16.5
2024,ソフトバンク,91,63.9,63.6,-27.1,-27.4
2024,ヤクルト,62,57.0,56.3,-5.0,-5.7
2024,ロッテ,71,57.0,57.5,-14.0,-13.5
2024,中日,60,46.4,47.0,-13.6,-13.0
2024,巨人,77,73.6,73.3,-3.4,-3.7
2024,広島,68,78.5,76.9,10.5,8.9
2024,日本ハム,75,57.2,57.2,-17.8,-17.8
2024,楽天,67,78.9,77.5,11.9,10.5
2024,西武,49,81.3,82.4,32.3,33.4
2024,阪神,74,82.8,81.8,8.8,7.8
2025,DeNA,71,79.5,78.8,8.5,7.8
2025,オリックス,74,100.9,102.3,26.9,28.3
2025,ソフトバンク,87,88.2,87.2,1.2,0.2
2025,ヤクルト,57,61.2,59.8,4.2,2.8
2025,ロッテ,56,73.1,73.4,17.1,17.4
2025,中日,63,57.7,56.4,-5.3,-6.6
2025,巨人,70,63.5,64.9,-6.5,-5.1
2025,広島,59,42.0,41.1,-17.0,-17.9
2025,日本ハム,83,87.0,86.6,4.0,3.6
2025,楽天,67,52.9,52.2,-14.1,-14.8
2025,西武,63,45.1,46.8,-17.9,-16.2
2025,阪神,85,98.2,98.0,13.2,13.0
